City ->;Prague;;;Horsham;;;Arkelstorp;;;Jönköping;;;Östersund;;
Date;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather

2014/01/01;-1;4;Cloudy;6;11;Cloudy;-2;4;Partly Cloudy;0;2;Cloudy;-1;3;Mostly Cloudy
2014/01/02;-2;3;Partly Cloudy;6;11;Mostly Cloudy;3;6;Fog;1;4;Drizzle;0;1;Light Snow
2014/01/03;0;6;Sunny;5;11;Partly Cloudy;3;7;Partly Cloudy;2;5;Light Drizzle;0;1;Cloudy
2014/01/04;4;7;Fair;6;9;Partly Cloudy;2;7;n/a;3;5;Partly Cloudy;1;2;n/a
2014/01/05;1;6;Light Rain;0;7;Partly Cloudy;4;6;Fog;2;4;n/a;-4;1;Fair
2014/01/06;2;3;Clear;10;11;Mostly Cloudy;7;7;Cloudy;5;6;Light Drizzle;1;1;Light Snow
2014/01/07;6;8;Partly Cloudy;9;11;Mostly Cloudy;8;9;Partly Cloudy;6;7;Light Rain;3;4;Fair
2014/01/08;1;12;Clear;7;11;Cloudy;7;9;Mostly Cloudy;5;6;Light Drizzle;-6;4;Fog
2014/01/09;1;12;Fair;3;12;Clear;4;9;Rain;0;5;Light Rain;-7;-3;Snow
2014/01/10;4;11;Sunny;1;9;Mostly Cloudy;4;6;Drizzle;-1;2;Mostly Cloudy;-15;-7;Light Snow
2014/01/11;0;6;Fair;8;8;Cloudy;5;7;Light Rain;1;5;Partly Cloudy;-15;-14;Light Snow
2014/01/12;1;3;Cloudy;0;6;n/a;0;1;Snow Grains;-7;-5;Cloudy;-18;-16;Fair
2014/01/13;1;3;Cloudy;4;8;Partly Cloudy;0;1;Snow Grains;-7;-5;Cloudy;-18;-16;Fair
2014/01/14;-1;2;Drizzle;0;7;Fair;1;3;Fog;-5;-1;Cloudy;-17;-13;Light Snow
2014/01/15;0;4;Clear;6;11;Cloudy;1;3;Partly Cloudy;-3;-1;Mostly Cloudy;-17;-12;Light Snow
2014/01/16;-1;4;Clear;6;10;Mostly Cloudy;1;3;Partly Cloudy;-4;-2;Mostly Cloudy;-14;-10;Light Snow
2014/01/17;1;5;Mostly Cloudy;5;8;Clear;0;1;Light Snow;-5;-4;Mostly Cloudy;-16;-11;Light Snow
2014/01/18;-1;3;Fog;7;10;Partly Cloudy;0;1;Snow Grains;-5;-4;Cloudy;-17;-11;Light Snow
2014/01/19;3;8;Clear;-1;9;Clear;0;1;Cloudy;-5;-3;Mostly Cloudy;-14;-8;Light Snow
2014/01/20;2;6;Light Rain;-3;9;Partly Cloudy;0;1;Cloudy;-6;-4;Mostly Cloudy;-11;-9;Fair
2014/01/21;1;1;Rain and Snow;2;7;Partly Cloudy;-1;0;Cloudy;-6;-4;Fair;-13;-10;Light Snow
2014/01/22;-2;-2;Light Snow;3;5;Clear;-2;-2;Cloudy;-7;-6;Light Snow;-13;-12;Fair
2014/01/23;-2;-2;Light Snow;3;5;Clear;-2;-2;Cloudy;-7;-6;Light Snow;-13;-12;Fair
2014/01/24;-4;-2;Light Snow;2;8;Light Rain/Fog;-3;-2;Partly Cloudy;-7;-5;Mostly Cloudy;-14;-12;Fair
2014/01/25;-13;-4;Fair;4;12;Fair;-6;-2;Cloudy;-8;-5;Light Snow;-12;-7;n/a
2014/01/26;-15;-6;Mostly Cloudy;3;10;Cloudy;-6;-2;Light Snow;-8;-4;Snow Grains;-11;-8;Light Snow
2014/01/27;-6;-1;Cloudy;1;8;Fair;-5;-1;Light Snow;-6;-3;Mostly Cloudy;-9;-6;Light Snow
2014/01/28;-4;-2;Cloudy;4;8;Rain Shower;-3;0;Cloudy;-3;-2;Partly Cloudy;-8;-4;Cloudy
2014/01/29;-6;-2;Cloudy;3;6;Cloudy;-4;-1;Snow Grains;-6;-2;Light Snow;-7;-4;Cloudy
